input_text,music_prompt
date:2025-05-18 time:00:19:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with soft harmonies
date:2025-05-18 time:00:20:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft nocturnal harmonies with gentle rhythms
date:2025-05-18 time:00:21:00 bpm:71 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with subtle echoes
date:2025-05-18 time:00:22:00 bpm:72 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullabies with soft chimes
date:2025-05-18 time:00:23:00 bpm:73 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal synth with soft echoes
date:2025-05-18 time:00:24:00 bpm:71 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle night harmonies with soft echoes
date:2025-05-18 time:00:25:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullabies with ethereal melodies
date:2025-05-18 time:00:26:00 bpm:82 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ethereal melodies with soft echoes
date:2025-05-18 time:00:27:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soft echoes
date:2025-05-18 time:00:28:00 bpm:80 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with soothing harmonies
date:2025-05-18 time:00:29:00 bpm:79 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle lullaby with soft, flowing harmonies"
date:2025-05-18 time:00:30:00 bpm:87 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Soft, dreamy soundscapes with gentle waves"
date:2025-05-18 time:00:31:00 bpm:85 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy ethereal soundscapes with gentle pulses
date:2025-05-18 time:00:32:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle flowing harmonies with serene melodies
date:2025-05-18 time:00:33:00 bpm:84 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Soft, dreamy synth waves with chimes"
date:2025-05-18 time:00:34:00 bpm:79 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft nocturnal rhythms with gentle swells
date:2025-05-18 time:00:35:00 bpm:73 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal melodies with soft whispers
date:2025-05-18 time:00:36:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle harmonic waves with subtle echoes
date:2025-05-18 time:00:37:00 bpm:73 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle harmonic waves with soothing layers
date:2025-05-18 time:00:38:00 bpm:76 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, dreamlike synth with soft echoes"
date:2025-05-18 time:00:39:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal rhythms with soft echoes
date:2025-05-18 time:00:40:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle harmonic drones with soft echoes
date:2025-05-18 time:00:41:00 bpm:77 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with soft echoes
date:2025-05-18 time:00:42:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal whispers with airy synths
date:2025-05-18 time:00:43:00 bpm:78 steps:15 cal:2 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullabies with soothing harmonies
date:2025-05-18 time:00:44:00 bpm:78 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal rhythms with soft echoes
date:2025-05-18 time:00:45:00 bpm:87 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with soft echoes
date:2025-05-18 time:00:46:00 bpm:86 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal harmonies with ethereal echoes
date:2025-05-18 time:00:47:00 bpm:89 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, dreamy synths with soft layers"
date:2025-05-18 time:00:48:00 bpm:91 steps:39 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with gentle rhythms
date:2025-05-18 time:00:49:00 bpm:90 steps:27 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Rhythmic pulses with gentle dreamy waves
date:2025-05-18 time:00:50:00 bpm:89 steps:30 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with gentle echoes
date:2025-05-18 time:00:51:00 bpm:86 steps:28 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with soft harmonies
date:2025-05-18 time:00:52:00 bpm:87 steps:34 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal rhythms with soft whispers
date:2025-05-18 time:00:53:00 bpm:88 steps:39 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy nocturnal waves with soft echoes
date:2025-05-18 time:00:54:00 bpm:88 steps:77 cal:5 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullaby with shimmering synths
date:2025-05-18 time:00:55:00 bpm:87 steps:62 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,gentle nocturnal synths with soft echoes
date:2025-05-18 time:00:56:00 bpm:86 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy harmonies with gentle flowing rhythms
date:2025-05-18 time:00:57:00 bpm:88 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with gentle pulses
date:2025-05-18 time:00:58:00 bpm:89 steps:43 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic melodies with soft echoes
date:2025-05-18 time:00:59:00 bpm:87 steps:103 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic pulses with soft harmonies
date:2025-05-18 time:01:00:00 bpm:87 steps:102 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft dreamy soundscapes with gentle rhythms
date:2025-05-18 time:01:01:00 bpm:87 steps:106 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, dreamy synths with soft pulses"
date:2025-05-18 time:01:02:00 bpm:87 steps:111 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle flowing melodies with airy synths
date:2025-05-18 time:01:03:00 bpm:87 steps:100 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soothing rhythms
date:2025-05-18 time:01:04:00 bpm:92 steps:72 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic beats with soft harmonies
date:2025-05-18 time:01:05:00 bpm:93 steps:51 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullabies with ethereal melodies
date:2025-05-18 time:01:06:00 bpm:91 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy ambient layers with soft whispers
date:2025-05-18 time:01:07:00 bpm:95 steps:25 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic patterns with soothing chords
date:2025-05-18 time:01:08:00 bpm:92 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with gentle pulses
date:2025-05-18 time:01:09:00 bpm:97 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with subtle rhythms
date:2025-05-18 time:01:10:00 bpm:101 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle serene waves with dreamy undertones
date:2025-05-18 time:01:11:00 bpm:101 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic waves with soft undertones
date:2025-05-18 time:01:12:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal melodies with soft waves
date:2025-05-18 time:01:13:00 bpm:96 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle night rhythms with serene flow
date:2025-05-18 time:01:14:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with soothing harmonies
date:2025-05-18 time:01:15:00 bpm:100 steps:21 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with serene harmonies
date:2025-05-18 time:01:16:00 bpm:102 steps:36 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic pulses with dreamy layers
date:2025-05-18 time:01:17:00 bpm:103 steps:16 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Steady rhythmic beats with dreamy layers
date:2025-05-18 time:01:18:00 bpm:100 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle dreamy soundscape with soothing waves
date:2025-05-18 time:01:19:00 bpm:105 steps:0 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic waves with soft echoes
date:2025-05-18 time:01:20:00 bpm:108 steps:0 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Pulsating ambient waves with soft echoes
date:2025-05-18 time:01:21:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullabies with ethereal whispers
date:2025-05-18 time:01:22:00 bpm:103 steps:7 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Pulsing ambient with gentle nighttime rhythms
date:2025-05-18 time:01:23:00 bpm:100 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Energetic ambient with gentle synth layers
date:2025-05-18 time:01:24:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic pulses with soft layers
date:2025-05-18 time:01:25:00 bpm:94 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Pulsing synth waves with soothing undertones
date:2025-05-18 time:01:26:00 bpm:95 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth layers with gentle rhythms
date:2025-05-18 time:01:27:00 bpm:97 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Pulsating ambient with gentle lullabies
date:2025-05-18 time:01:28:00 bpm:99 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Vibrant electronic beats with dreamy undertones
date:2025-05-18 time:01:29:00 bpm:93 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with ethereal echoes
date:2025-05-18 time:01:30:00 bpm:95 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Ethereal synth waves with gentle rhythms
date:2025-05-18 time:01:31:00 bpm:96 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with gentle rhythms
date:2025-05-18 time:01:32:00 bpm:95 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with gentle rhythms
date:2025-05-18 time:01:33:00 bpm:94 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullabies with ethereal melodies
date:2025-05-18 time:01:34:00 bpm:93 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy ambient waves with gentle pulses
date:2025-05-18 time:01:35:00 bpm:94 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Pulsating rhythms with serene undertones
date:2025-05-18 time:01:36:00 bpm:97 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal melodies with soft echoes
date:2025-05-18 time:01:37:00 bpm:99 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with subtle rhythm
date:2025-05-18 time:01:38:00 bpm:96 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with soft pulses
date:2025-05-18 time:01:39:00 bpm:95 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soft echoes
date:2025-05-18 time:01:40:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soft melodies
date:2025-05-18 time:01:41:00 bpm:96 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic pulses with dreamlike melodies
date:2025-05-18 time:01:42:00 bpm:95 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ethereal melodies with soft echoes
date:2025-05-18 time:01:43:00 bpm:94 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Pulsating electronic waves with dreamlike echoes
date:2025-05-18 time:01:44:00 bpm:96 steps:29 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle flowing melodies with soft echoes
date:2025-05-18 time:01:45:00 bpm:103 steps:11 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Upbeat rhythmic pulses with soft harmonies
date:2025-05-18 time:01:46:00 bpm:103 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal rhythms with soothing layers
date:2025-05-18 time:01:47:00 bpm:101 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dynamic nocturnal rhythms with serene undertones
date:2025-05-18 time:01:48:00 bpm:94 steps:17 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Pulsing nocturnal rhythms with soft echoes
date:2025-05-18 time:01:49:00 bpm:96 steps:49 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Pulsing rhythms with tranquil layers
date:2025-05-18 time:01:50:00 bpm:90 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth layers with gentle echoes
date:2025-05-18 time:01:51:00 bpm:105 steps:55 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Lively rhythmic beats with gentle flow
date:2025-05-18 time:01:52:00 bpm:105 steps:25 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Energetic pulse with deep rhythmic bass
date:2025-05-18 time:01:53:00 bpm:92 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle drone with soft lullaby undertones
date:2025-05-18 time:01:54:00 bpm:101 steps:18 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Ethereal soundscapes with gentle rhythms
date:2025-05-18 time:01:55:00 bpm:102 steps:17 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Energetic rhythms with gentle atmospheric layers
date:2025-05-18 time:01:56:00 bpm:106 steps:0 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,Rhythmic soft waves with gentle pulses
date:2025-05-18 time:01:57:00 bpm:103 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Lush dreamscapes with gentle rhythmic pulse
date:2025-05-18 time:01:58:00 bpm:100 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Vibrant synth waves with gentle rhythms
date:2025-05-18 time:01:59:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle dreamscape with soft melodies
date:2025-05-18 time:02:00:00 bpm:97 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with gentle pulses
date:2025-05-18 time:02:01:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft dreamlike melodies with gentle rhythms
date:2025-05-18 time:02:02:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal melodies with soft whispers
date:2025-05-18 time:02:03:00 bpm:95 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy synth waves with gentle pulses
date:2025-05-18 time:02:04:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Ethereal drones with gentle lullabies
date:2025-05-18 time:02:05:00 bpm:77 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal whispers with airy echoes
date:2025-05-18 time:02:06:00 bpm:79 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal rhythms with soft waves
date:2025-05-18 time:02:07:00 bpm:79 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft ethereal soundscapes with gentle pulses
date:2025-05-18 time:02:08:00 bpm:80 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, serene waves with soothing harmonies"
date:2025-05-18 time:02:09:00 bpm:80 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal melodies with soft echoes
date:2025-05-18 time:02:10:00 bpm:76 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soft echoes
date:2025-05-18 time:02:11:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle flowing harmonies with serene undertones
date:2025-05-18 time:02:12:00 bpm:76 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle night melodies with soft echoes
date:2025-05-18 time:02:13:00 bpm:0 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ethereal waves with soft echoes
date:2025-05-18 time:02:14:00 bpm:0 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft ethereal soundscapes with subtle harmonies
date:2025-05-18 time:02:15:00 bpm:78 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, soothing ambient with soft echoes"
date:2025-05-18 time:02:16:00 bpm:77 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal melodies with soft harmonies
date:2025-05-18 time:02:17:00 bpm:80 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy ethereal soundscapes with gentle swells
date:2025-05-18 time:02:18:00 bpm:84 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullaby with ethereal whispers
date:2025-05-18 time:02:19:00 bpm:84 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle dreamlike synths with soft echoes
date:2025-05-18 time:02:20:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soft pulses
date:2025-05-18 time:02:21:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft ethereal pads with gentle rhythms
date:2025-05-18 time:02:22:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, soothing lullaby with soft echoes"
date:2025-05-18 time:02:23:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft dreamlike melodies with gentle rhythms
date:2025-05-18 time:02:24:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with soft pulses
date:2025-05-18 time:02:25:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy nocturnal soundscapes with gentle waves
date:2025-05-18 time:02:26:00 bpm:82 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft melodic drones with gentle flow
date:2025-05-18 time:02:27:00 bpm:84 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal harmonies with soft pulses
date:2025-05-18 time:02:28:00 bpm:87 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Ethereal dreamscape with gentle harmonies
date:2025-05-18 time:02:29:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft ethereal waves with gentle harmonies
date:2025-05-18 time:02:30:00 bpm:84 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle night rhythms with soothing layers
date:2025-05-18 time:02:31:00 bpm:82 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullaby harmonies with soft echoes
date:2025-05-18 time:02:32:00 bpm:82 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ethereal melodies with soft rhythms
date:2025-05-18 time:02:33:00 bpm:84 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Soft, flowing melodies with gentle echoes"
date:2025-05-18 time:02:34:00 bpm:84 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullaby with soft harmonies
date:2025-05-18 time:02:35:00 bpm:87 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, soothing ambient with dreamlike undertones"
date:2025-05-18 time:02:36:00 bpm:86 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Ethereal ambient soundscapes with subtle depth
date:2025-05-18 time:02:37:00 bpm:86 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, soothing harmonies with soft echoes"
date:2025-05-18 time:02:38:00 bpm:82 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal melodies with soft echoes
date:2025-05-18 time:02:39:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Ethereal synth waves with gentle pulsations
date:2025-05-18 time:02:40:00 bpm:85 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soothing rhythms
date:2025-05-18 time:02:41:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle night whispers with serene waves
date:2025-05-18 time:02:42:00 bpm:83 steps:16 cal:2 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle, ethereal sounds with airy melodies"
date:2025-05-18 time:02:43:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Dreamy ambient with soft ethereal waves
date:2025-05-18 time:02:44:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle rhythmic pulses with soft echoes
